역코드,역명,승강기명,운행구간,설치위치,운행상태,승강기 구분
2518,화곡,승강기)엘리베이터 2,F1-B1,12번 출구측,사용가능,EV
2519,까치산(5),승강기)엘리베이터 2,B1-F1,외부,사용가능,EV
2521,목동,승강기)엘리베이터 3,F1-B1,5번 출구측,사용가능,EV
2522,오목교,승강기)엘리베이터 3,F1-B1,7번 출구측,사용가능,EV
2523,양평(5),승강기)엘리베이터 3,F1-B1,2번 출구측,사용가능,EV
2524,영등포구청(5),승강기)엘리베이터 1,F1-B5,외부,사용가능,EV
2525,영등포시장,승강기)엘리베이터 3,B1-F1,2번 출구측,사용가능,EV
2526,신길(5),승강기)엘리베이터 3,B2-F1,3번 출구측,사용가능,EV
2528,여의나루,승강기)엘리베이터 3,F1-BM1,4번 출구측,사용가능,EV
2529,마포,승강기)엘리베이터 2,F1-B1,2번 출구측,사용가능,EV
2530,공덕(5),승강기)엘리베이터 2,F1-B1,2번 출구측,사용가능,EV
2531,애오개,승강기)엘리베이터 4,F1-B1,2번 출구측,사용가능,EV
2531,애오개,승강기)엘리베이터 5,F1-B1,3번 출구측,사용가능,EV
2532,충정로(5),승강기)엘리베이터 2,F1-B1,8번 출구측,보수중,EV
2533,서대문,승강기)엘리베이터 2,F1-B1,2번 출구측,공사중,EV
2533,서대문,승강기)엘리베이터 3,F1-BM1,6번 출구측,사용가능,EV
2534,광화문,승강기)엘리베이터 1,F1-B2,1번 출구측,사용가능,EV
2539,신금호,승강기)엘리베이터 3,F1-B2,2번 출구측,사용가능,EV
2540,행당,승강기)엘리베이터 3,F1-B3,3번 출구측,사용가능,EV
2541,왕십리(5),승강기)엘리베이터 1,F1-B4,외부,사용가능,EV
2542,마장,승강기)엘리베이터 3,B2-F1,2번 출구측,사용가능,EV
2543,답십리,승강기)엘리베이터 3,F1-B2,2번 출구측,보수중,EV
2543,답십리,승강기)엘리베이터 4,F1-B2,6번 출구측,사용가능,EV
2544,장한평,승강기)엘리베이터 2,F1-B2,78번 출구측,사용가능,EV
2544,장한평,승강기)엘리베이터 3,F1-B2,1번 출구측,사용가능,EV
2545,군자(5),승강기)엘리베이터 3,F1-B1,4번 출구측,사용가능,EV
2546,아차산,승강기)엘리베이터 3,F1-B1,4번 출구측,사용가능,EV
2547,광나루,승강기)엘리베이터 3,F1-B2,1번 출구측,사용가능,EV
2547,광나루,승강기)엘리베이터 4,F1-B1,3번 출구측,사용가능,EV
2548,천호(5),승강기)엘리베이터 1,F1-BM1,67번 출구측,사용가능,EV
2549,강동,승강기)엘리베이터 2,F1-B3,1번 출구측,사용가능,EV
2551,굽은다리,승강기)엘리베이터 3,F1-B1,2번 출구측,사용가능,EV
2552,명일,승강기)엘리베이터 3,F1-B1,3번 출구측,사용가능,EV
2553,고덕,승강기)엘리베이터 3,F1-B1,2번 출구측,사용가능,EV
2553,고덕,승강기)엘리베이터 4,F1-B1,45번 출구측,사용가능,EV
2554,상일동,승강기)엘리베이터 1,B1-F1,1번 출구측,사용가능,EV
2554,상일동,승강기)엘리베이터 2,B1-F1,3번 출구측,사용가능,EV
2554,상일동,승강기)엘리베이터 3,B1-F1,5번 출구측,사용가능,EV
2554,상일동,승강기)엘리베이터 4,B1-F1,8번 출구측,사용가능,EV
2555,둔촌동,승강기)엘리베이터 3,F1-B1,34번 출구측,사용가능,EV
2556,올림픽공원(5),승강기)엘리베이터 4,F1-B2,2번 출구측,사용가능,EV
2557,방이,승강기)엘리베이터 3,F1-B1,3번 출구측,사용가능,EV
2557,방이,승강기)엘리베이터 4,F1-B1,1번 출구측,사용가능,EV
2558,오금(5),승강기)엘리베이터 5,F1-B1,5번 출구측,사용가능,EV
2559,개롱,승강기)엘리베이터 3,F1-B1,34번 출구측,사용가능,EV
2560,거여,승강기)엘리베이터 3,F1-B1,2번 출구측,사용가능,EV
2562,강일,승강기)엘리베이터 5,B2-1F,1번 출구측,사용가능,EV
2562,강일,승강기)엘리베이터 6,B2-1F,2번 출구측,사용가능,EV
2562,강일,승강기)엘리베이터 7,B2-1F,3번 출입구,사용가능,EV
2562,강일,승강기)엘리베이터 8,B2-1F,4번 출입구,사용가능,EV
2563,미사,승강기)엘리베이터 3,B1-F1,1번 출구측,사용가능,EV
2563,미사,승강기)엘리베이터 4,B1-F1,6번 출구측,사용가능,EV
2564,하남풍산,승강기)엘리베이터 3,B1-F1,1번 출구측,사용가능,EV
2564,하남풍산,승강기)엘리베이터 4,B1-F1,5번 출구측,사용가능,EV
2564,하남풍산,승강기)엘리베이터 5,B1-F1,7번 출구측,사용가능,EV
2565,하남시청,승강기)엘리베이터 3,B2-F1,3번 출구측,사용가능,EV
2565,하남시청,승강기)엘리베이터 4,B2-F1,5번 출구측,사용가능,EV
2566,하남검단산,승강기)엘리베이터 3,B1-F1,1번 출구측,보수중,EV
2566,하남검단산,승강기)엘리베이터 4,B1-F1,3번 출구측,사용가능,EV
2611,응암,승강기)엘리베이터 2,F1-B1,4번 출구측,사용가능,EV
2612,역촌,승강기)엘리베이터 2,F1-B1,4번 출구측,사용가능,EV
2613,불광(6),승강기)엘리베이터 3,F1-B1,8번 출구측,사용가능,EV
2614,독바위,승강기)엘리베이터 2,F1-B1,1번 출구측,사용가능,EV
2615,연신내(6),승강기)엘리베이터 2,F1-B1,6번 출구측,사용가능,EV
2616,구산,승강기)엘리베이터 1,F1-B1,4번 출구측,사용가능,EV
2617,새절,승강기)엘리베이터 2,F1-B1,1번 출구측,사용가능,EV
2618,증산,승강기)엘리베이터 3,F1-B1,2번 출구측,사용가능,EV
2619,디지털미디어시티(6),승강기)엘리베이터 3,F1-B1,4번 출구측,사용가능,EV
2620,월드컵경기장(6),승강기)엘리베이터 3,F1-B2,2번 출구측,사용가능,EV
2621,마포구청,승강기)엘리베이터 3,F1-B2,8번 출구측,사용가능,EV
2621,마포구청,승강기)엘리베이터 4,F1-B2,2번 출구측,사용가능,EV
2622,망원,승강기)엘리베이터 2,F1-B2,2번 출구측,사용가능,EV
2623,합정(6),승강기)엘리베이터 3,F1-B1,6번 출구측,사용가능,EV
2623,합정(6),승강기)엘리베이터 4,F1-B1,9번 출구측,사용가능,EV
2623,합정(6),승강기)엘리베이터 5,F1-B1,8-1 출구측,사용가능,EV
2625,광흥창,승강기)엘리베이터 1,F1-B2,1번 출구측,사용가능,EV
2625,광흥창,승강기)엘리베이터 3,F1-B2,4번 출구측,사용가능,EV
2627,공덕(6),승강기)엘리베이터 3,F1-B1,5번 출구측,사용가능,EV
2629,삼각지(6),승강기)엘리베이터 3,F1-B3,8번 출구측,사용가능,EV
2629,삼각지(6),승강기)엘리베이터 4,F1-B3,12번 출구측,사용가능,EV
2630,녹사평,승강기)엘리베이터 3,F1-B2,1번 출구측,사용가능,EV
2631,이태원,승강기)엘리베이터 2,F1-B1,2번 출구측,사용가능,EV
2632,한강진,승강기)엘리베이터 3,F1-B1,3번 출구측,사용가능,EV
2633,버티고개,승강기)엘리베이터 5,F1-B1,2번 출구측,사용가능,EV
2635,청구(6),승강기)엘리베이터 4,F1-B1,3번 출구측,사용가능,EV
2635,청구(6),승강기)엘리베이터 5,F1-B1,1번 출구측,사용가능,EV
2636,신당(6),승강기)엘리베이터 2,B1-F1,11번 출구측,사용가능,EV
2638,창신,승강기)엘리베이터 2,F1-B1,34번 출구측,사용가능,EV
2638,창신,승강기)엘리베이터 3,F1-B1,2번 출구측,사용가능,EV
2640,안암,승강기)엘리베이터 3,F1-B2,1번,사용가능,EV
2641,고려대,승강기)엘리베이터 3,F1-B1,1번 출구측,사용가능,EV
2641,고려대,승강기)엘리베이터 4,F1-B1,34번 출구측,사용가능,EV
2642,월곡,승강기)엘리베이터 3,F1-B2,15번 출구측,사용가능,EV
2643,상월곡,승강기)엘리베이터 1,F1-B2,4번 출구측,사용가능,EV
2644,돌곶이,승강기)엘리베이터 3,F1-B1,3번 출구측,사용가능,EV
2645,석계(6),승강기)엘리베이터 3,F1-B2,1번 출구측,사용가능,EV
2645,석계(6),승강기)엘리베이터 4,F1-B2,4번 출구측,사용가능,EV
2646,태릉입구(6),승강기)엘리베이터 3,F1-B1,8번 출구측,사용가능,EV
2646,태릉입구(6),승강기)엘리베이터 4,F1-B1,6번 출구측,사용가능,EV
2647,화랑대,승강기)엘리베이터 3,F1-B1,1번 출구측,사용가능,EV
2647,화랑대,승강기)엘리베이터 4,F1-B1,7번 출구측,사용가능,EV
2648,봉화산,승강기)엘리베이터 1,F1-B1,2번 출구측,사용가능,EV
2648,봉화산,승강기)엘리베이터 2,F1-B1,4번 출구측,사용가능,EV
2649,신내(6),승강기)엘리베이터 1,F1-F2,외부,사용가능,EV
2711,장암,승강기)엘리베이터 1,F2-F1,외부,사용가능,EV
2711,장암,승강기)엘리베이터 2,F2-F1,외부,사용가능,EV
2712,도봉산(7),승강기)엘리베이터 1,F2-F1,외부,사용가능,EV
2712,도봉산(7),승강기)엘리베이터 2,F2-F1,외부,사용가능,EV
2712,도봉산(7),승강기)엘리베이터 5,B1-F1,외부,사용가능,EV
2713,수락산,승강기)엘리베이터 1,F1-B2,외부,사용가능,EV
2714,마들,승강기)엘리베이터 2,F1-B1,5번 출구측,사용가능,EV
2714,마들,승강기)엘리베이터 3,F1-B1,4번 출구측,사용가능,EV
2714,마들,승강기)엘리베이터 4,F1-B1,2번 출구측,사용가능,EV
2715,노원(7),승강기)엘리베이터 2,B1-F1,3번 출구측,사용가능,EV
2715,노원(7),승강기)엘리베이터 3,B1-F1,6번 출구측,사용가능,EV
2715,노원(7),승강기)엘리베이터 4,B1-F1,5번 출구측,사용가능,EV
2716,중계,승강기)엘리베이터 2,F1-B2,5번 출구측,사용가능,EV
2716,중계,승강기)엘리베이터 3,F1-B2,3번 출구측,사용가능,EV
2717,하계,승강기)엘리베이터 3,F1-B1,1번 출구측,사용가능,EV
2717,하계,승강기)엘리베이터 4,F1-B1,6번 출구측,사용가능,EV
2718,공릉,승강기)엘리베이터 3,F1-B1,외부,사용가능,EV
2720,먹골,승강기)엘리베이터 3,F1-B1-B2,외부,사용가능,EV
2721,중화,승강기)엘리베이터 3,F1-B1,외부,사용가능,EV
2722,상봉(7),승강기)엘리베이터 5,F1-B1,외부,사용가능,EV
2723,면목,승강기)엘리베이터 3,F1-B1,외부,사용가능,EV
2724,사가정,승강기)엘리베이터 3,F1-B1,외부,사용가능,EV
2725,용마산,승강기)엘리베이터 3,F2-B1,외부,사용가능,EV
2726,중곡,승강기)엘리베이터 3,F1-B2,외부,사용가능,EV
2727,군자(7),승강기)엘리베이터 외부1,F1-B1,7번 출구측,사용가능,EV
2728,어린이대공원,승강기)엘리베이터 3,F1-B1,외부,사용가능,EV
2728,어린이대공원,승강기)엘리베이터 4,F1-B1,외부,사용가능,EV
2730,뚝섬유원지,승강기)엘리베이터 1,F2-F1,외부,사용가능,EV
2731,청담,승강기)엘리베이터 1,F1-B3,외부,사용가능,EV
2731,청담,승강기)엘리베이터 2,F1-B3,외부,사용가능,EV
2733,학동,승강기)엘리베이터 3,F1-B2,외부,사용가능,EV
2734,논현,승강기)엘리베이터 3,F1-B2,외부,사용가능,EV
2735,반포,승강기)엘리베이터 3,F1-B2,외부,사용가능,EV
2735,반포,승강기)엘리베이터 4,F1-B2,외부,사용가능,EV
2737,내방,승강기)엘리베이터 4,F1-B1,외부,사용가능,EV
2737,내방,승강기)엘리베이터 5,F1-B1,외부,사용가능,EV
2738,총신대입구(7),승강기)엘리베이터 3,F1-B3,외부,보수중,EV
2739,남성,승강기)엘리베이터 3,F1-B2,3번 출구측,사용가능,EV
2739,남성,승강기)엘리베이터 4,F1-B3,2번 출구측,사용가능,EV
2740,숭실대입구,승강기)엘리베이터 3,F1-B2,외부,사용가능,EV
2740,숭실대입구,승강기)엘리베이터 4,F1-B3,외부,사용가능,EV
2741,상도,승강기)엘리베이터 3,F1-B2,외부,사용가능,EV
2742,장승배기,승강기)엘리베이터 3,F1-B2,외부,사용가능,EV
2743,신대방삼거리,승강기)엘리베이터 4,F1-B1,3번 출구측,사용가능,EV
2744,보라매,승강기)엘리베이터 2,F1-B1,외부,사용가능,EV
2745,신풍,승강기)엘리베이터 3,F1-B1,외부,사용가능,EV
2745,신풍,승강기)엘리베이터 4,F1-B1,외부,사용가능,EV
2746,대림(7),승강기)엘리베이터 3,F1-B1,10번 출구측,사용가능,EV
2748,가산디지털단지(7),승강기)엘리베이터 3,B1-B2,B2 대합실,사용가능,EV
2748,가산디지털단지(7),승강기)엘리베이터 4,F1-B1,6번 출입구,사용가능,EV
2749,철산,승강기)엘리베이터 3,F1-B1,외부,사용가능,EV
2749,철산,승강기)엘리베이터 4,F1-B1,외부,사용가능,EV
2750,광명사거리,승강기)엘리베이터 2,F1-B2,외부,사용가능,EV
2751,천왕,승강기)엘리베이터 3,F1-B1,외부,사용가능,EV
2751,천왕,승강기)엘리베이터 4,F1-B1,외부,사용가능,EV
2752,온수(7),승강기)엘리베이터 3,F1-B1,외부,사용가능,EV
2754,부천종합운동장,승강기)엘리베이터 2,F1-B1,외부,사용가능,EV
2754,부천종합운동장,승강기)엘리베이터 4,F2-BM1,외부,사용가능,EV
2756,신중동,승강기)엘리베이터 3,F1-B1,외부,사용가능,EV
2758,상동,승강기)엘리베이터 3,F1-B1,외부,사용가능,EV
2758,상동,승강기)엘리베이터 4,F1-B1,외부,사용가능,EV
2761,부평구청(7),승강기)엘리베이터 7,F1-B1,외부,사용가능,EV
2761,부평구청(7),승강기)엘리베이터 9,F1-B4 (관리동),외부,사용가능,EV
2811,암사,승강기)엘리베이터 3,B1-F1,외부,사용가능,EV
2813,강동구청,승강기)엘리베이터 3,B2-1F,4번 출구측,사용가능,EV
2814,몽촌토성,승강기)엘리베이터 4,B1-1F,외부,사용가능,EV
2815,잠실(8),승강기)엘리베이터 3,B1-F1,9번 출입구,사용가능,EV
2815,잠실(8),승강기)엘리베이터 4,B2-F1,10번 출구측,사용가능,EV
2816,석촌(8),승강기)엘리베이터 3,B1-F1,외부,사용가능,EV
2817,송파,승강기)엘리베이터 3,B1-1F,1번 출구측,사용가능,EV
2817,송파,승강기)엘리베이터 4,B1-1F,연결통로,보수중,EV
2818,가락시장(8),승강기)엘리베이터 5,B2-F1,12번 출구측,사용가능,EV
2818,가락시장(8),승강기)엘리베이터 6,B1-F1,34번 출구측,사용가능,EV
2819,문정,승강기)엘리베이터 3,B1-F1,외부,사용가능,EV
2820,장지,승강기)엘리베이터 3,B1-F1,외부,사용가능,EV
2820,장지,승강기)엘리베이터 4,B1-F1,외부,사용가능,EV
2822,산성,승강기)엘리베이터 4,B1-F1,외부,사용가능,EV
2824,단대오거리,승강기)엘리베이터 3,B1-F1,외부,사용가능,EV
2826,수진,승강기)엘리베이터 3,B1-F1,3번 출구측,사용가능,EV
2827,모란(8),승강기)엘리베이터 3,B1-1F,11번 출입구,사용가능,EV
2828,남위례,승강기)엘리베이터 1,F1-F2,1번 출입구,사용가능,EV
2828,남위례,승강기)엘리베이터 2,F1-F4,5번 출입구,사용가능,EV